r,t,e,m,y,AnnualTechnologyEmissionByMode
"REGION1","DEMINDDSL","CO2",1,2020,7.570508
"REGION1","DEMINDDSL","CO2",1,2021,7.547474
"REGION1","DEMINDDSL","CO2",1,2022,7.495124
"REGION1","DEMINDDSL","CO2",1,2023,7.46511
"REGION1","DEMINDDSL","CO2",1,2024,7.491634
"REGION1","DEMINDDSL","CO2",1,2025,7.54887
"REGION1","DEMINDDSL","CO2",1,2026,7.63961
"REGION1","DEMINDDSL","CO2",1,2027,7.721974
"REGION1","DEMINDDSL","CO2",1,2028,7.766646
"REGION1","DEMINDDSL","CO2",1,2029,7.768042
"REGION1","DEMINDDSL","CO2",1,2030,7.774324
"REGION1","DEMINDDSL","CO2",1,2031,7.79317
"REGION1","DEMINDDSL","CO2",1,2032,7.825976
"REGION1","DEMINDDSL","CO2",1,2033,7.83505
"REGION1","DEMINDDSL","CO2",1,2034,7.839238
"REGION1","DEMINDDSL","CO2",1,2035,7.848312
"REGION1","DEMINDDSL","CO2",1,2036,7.863668
"REGION1","DEMINDDSL","CO2",1,2037,7.888796
"REGION1","DEMINDDSL","CO2",1,2038,7.924394
"REGION1","DEMINDDSL","CO2",1,2039,7.970462
"REGION1","DEMINDDSL","CO2",1,2040,8.024906
"REGION1","DEMINDDSL","CO2",1,2041,7.9994988
"REGION1","DEMINDDSL","CO2",1,2042,8.020369
"REGION1","DEMINDDSL","CO2",1,2043,8.041309
"REGION1","DEMINDDSL","CO2",1,2044,8.0621792
"REGION1","DEMINDDSL","CO2",1,2045,8.0830494
"REGION1","DEMINDDSL","CO2",1,2046,8.1039894
"REGION1","DEMINDDSL","CO2",1,2047,8.1248596
"REGION1","DEMINDDSL","CO2",1,2048,8.1457996
"REGION1","DEMINDDSL","CO2",1,2049,8.1666698
"REGION1","DEMINDDSL","CO2",1,2050,8.18754
"REGION1","DEMINDBIO","CO2",1,2020,11.2028
"REGION1","DEMINDBIO","CO2",1,2021,11.2483
"REGION1","DEMINDBIO","CO2",1,2022,11.2784
"REGION1","DEMINDBIO","CO2",1,2023,11.3281
"REGION1","DEMINDBIO","CO2",1,2024,11.3848
"REGION1","DEMINDBIO","CO2",1,2025,11.3498
"REGION1","DEMINDBIO","CO2",1,2026,11.3344
"REGION1","DEMINDBIO","CO2",1,2027,11.3274
"REGION1","DEMINDBIO","CO2",1,2028,11.3176
"REGION1","DEMINDBIO","CO2",1,2029,11.2756
"REGION1","DEMINDBIO","CO2",1,2030,11.2217
"REGION1","DEMINDBIO","CO2",1,2031,11.1524
"REGION1","DEMINDBIO","CO2",1,2032,11.0726
"REGION1","DEMINDBIO","CO2",1,2033,10.983
"REGION1","DEMINDBIO","CO2",1,2034,10.8773
"REGION1","DEMINDBIO","CO2",1,2035,10.787
"REGION1","DEMINDBIO","CO2",1,2036,10.6946
"REGION1","DEMINDBIO","CO2",1,2037,10.6029
"REGION1","DEMINDBIO","CO2",1,2038,10.5147
"REGION1","DEMINDBIO","CO2",1,2039,10.4314
"REGION1","DEMINDBIO","CO2",1,2040,10.3509
"REGION1","DEMINDBIO","CO2",1,2041,10.31604
"REGION1","DEMINDBIO","CO2",1,2042,10.23939
"REGION1","DEMINDBIO","CO2",1,2043,10.16267
"REGION1","DEMINDBIO","CO2",1,2044,10.08595
"REGION1","DEMINDBIO","CO2",1,2045,10.0093
"REGION1","DEMINDBIO","CO2",1,2046,9.93258
"REGION1","DEMINDBIO","CO2",1,2047,9.85593
"REGION1","DEMINDBIO","CO2",1,2048,9.77921
"REGION1","DEMINDBIO","CO2",1,2049,9.70256
"REGION1","DEMINDBIO","CO2",1,2050,9.62584
"REGION1","DEMINDNGS","CO2",1,2020,11.310458
"REGION1","DEMINDNGS","CO2",1,2021,11.031796
"REGION1","DEMINDNGS","CO2",1,2022,10.760176
"REGION1","DEMINDNGS","CO2",1,2023,10.644989
"REGION1","DEMINDNGS","CO2",1,2024,11.133402
"REGION1","DEMINDNGS","CO2",1,2025,12.214349
"REGION1","DEMINDNGS","CO2",1,2026,13.839039
"REGION1","DEMINDNGS","CO2",1,2027,14.243451
"REGION1","DEMINDNGS","CO2",1,2028,14.315883
"REGION1","DEMINDNGS","CO2",1,2029,14.413968
"REGION1","DEMINDNGS","CO2",1,2030,15.32641
"REGION1","DEMINDNGS","CO2",1,2031,16.622138
"REGION1","DEMINDNGS","CO2",1,2032,17.430459
"REGION1","DEMINDNGS","CO2",1,2033,17.370099
"REGION1","DEMINDNGS","CO2",1,2034,17.325835
"REGION1","DEMINDNGS","CO2",1,2035,17.333883
"REGION1","DEMINDNGS","CO2",1,2036,17.332877
"REGION1","DEMINDNGS","CO2",1,2037,17.315272
"REGION1","DEMINDNGS","CO2",1,2038,17.314769
"REGION1","DEMINDNGS","CO2",1,2039,17.327847
"REGION1","DEMINDNGS","CO2",1,2040,17.344446
"REGION1","DEMINDNGS","CO2",1,2041,18.5232265
"REGION1","DEMINDNGS","CO2",1,2042,18.7981663
"REGION1","DEMINDNGS","CO2",1,2043,19.0731061
"REGION1","DEMINDNGS","CO2",1,2044,19.3480459
"REGION1","DEMINDNGS","CO2",1,2045,19.6229857
"REGION1","DEMINDNGS","CO2",1,2046,19.8979255
"REGION1","DEMINDNGS","CO2",1,2047,20.1728653
