REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRSOLB02,2030,0.104
REGION1,PWRWNDB11,2031,0.1999
REGION1,PWRWNDB12,2031,0.1999
REGION1,PWRWNDB13,2032,0.1972
REGION1,PWRWNDB14,2032,0.1428
REGION1,PWRWNDB15,2032,0.1596
REGION1,PWRWNDB16,2032,0.1404
REGION1,PWRWNDB17,2032,0.1972
REGION1,PWRWNDB18,2032,0.094
REGION1,PWRWNDB19,2032,0.2
REGION1,HDG01,2020,0.0
REGION1,HDG01,2021,0.0
REGION1,HDG01,2022,0.0
REGION1,HDG01,2023,0.0
REGION1,HDG01,2024,0.0
REGION1,HDG01,2025,0.0
REGION1,HDG01,2026,0.0
REGION1,HDG01,2027,0.0
REGION1,HDG01,2028,0.0
REGION1,HDG01,2029,0.0
REGION1,HDG01,2030,0.0
REGION1,HDG01,2031,0.0
REGION1,HDG01,2032,0.0
REGION1,HDG01,2033,0.0
REGION1,HDG01,2034,0.0
REGION1,HDG01,2035,0.0
REGION1,HDG01,2036,0.0
REGION1,HDG01,2037,0.0
REGION1,HDG01,2038,0.0
REGION1,HDG01,2039,0.0
REGION1,HDG01,2040,0.0
REGION1,HDG01,2041,0.0
REGION1,HDG01,2042,0.0
REGION1,HDG01,2043,0.0
REGION1,HDG01,2044,0.0
REGION1,HDG01,2045,0.0
REGION1,HDG01,2046,0.0
REGION1,HDG01,2047,0.0
REGION1,HDG01,2048,0.0
REGION1,HDG01,2049,0.0
REGION1,HDG01,2050,0.0
