REGION,TECHNOLOGY,YEAR,VALUE
REGION1,MINLNDBC1,2020,925
REGION1,MINLNDBC1,2021,925
REGION1,MINLNDBC1,2022,925
REGION1,MINLNDBC1,2023,925
REGION1,MINLNDBC1,2024,925
REGION1,MINLNDBC1,2025,925
REGION1,MINLNDBC1,2026,925
REGION1,MINLNDBC1,2027,925
REGION1,MINLNDBC1,2028,925
REGION1,MINLNDBC1,2029,925
REGION1,MINLNDBC1,2030,925
REGION1,MINLNDBC1,2031,925
REGION1,MINLNDBC1,2032,925
REGION1,MINLNDBC1,2033,925
REGION1,MINLNDBC1,2034,925
REGION1,MINLNDBC1,2035,925
REGION1,MINLNDBC1,2036,925
REGION1,MINLNDBC1,2037,925
REGION1,MINLNDBC1,2038,925
REGION1,MINLNDBC1,2039,925
REGION1,MINLNDBC1,2040,925
REGION1,MINLNDBC1,2041,925
REGION1,MINLNDBC1,2042,925
REGION1,MINLNDBC1,2043,925
REGION1,MINLNDBC1,2044,925
REGION1,MINLNDBC1,2045,925
REGION1,MINLNDBC1,2046,925
REGION1,MINLNDBC1,2047,925
REGION1,MINLNDBC1,2048,925
REGION1,MINLNDBC1,2049,925
REGION1,MINLNDBC1,2050,925
