REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,BATTERY_STORAGE,ELCB02,2024,7.011238670759294
REGION1,BATTERY_STORAGE,ELCB02,2025,12.822774310637257
REGION1,BATTERY_STORAGE,ELCB02,2026,12.940902374638135
REGION1,BATTERY_STORAGE,ELCB02,2027,22.173633817877967
REGION1,BATTERY_STORAGE,ELCB02,2028,21.937575295461652
REGION1,BATTERY_STORAGE,ELCB02,2029,27.32075731280944
REGION1,BATTERY_STORAGE,ELCB02,2030,42.19366809100902
REGION1,BATTERY_STORAGE,ELCB02,2031,48.616330157831364
REGION1,BATTERY_STORAGE,ELCB02,2032,55.38263741408309
REGION1,BATTERY_STORAGE,ELCB02,2033,54.02708528987981
REGION1,BATTERY_STORAGE,ELCB02,2034,51.868826974223445
REGION1,BATTERY_STORAGE,ELCB02,2035,70.59924643192174
REGION1,BATTERY_STORAGE,ELCB02,2036,55.47486690907894
REGION1,BATTERY_STORAGE,ELCB02,2037,65.25087678093504
REGION1,BATTERY_STORAGE,ELCB02,2038,73.96797527611713
REGION1,BATTERY_STORAGE,ELCB02,2039,87.08023407774864
REGION1,BATTERY_STORAGE,ELCB02,2040,85.19170538003472
REGION1,BATTERY_STORAGE,ELCB02,2041,80.02319722087339
REGION1,BATTERY_STORAGE,ELCB02,2042,97.6490026929937
REGION1,BATTERY_STORAGE,ELCB02,2043,109.77117203463867
REGION1,BATTERY_STORAGE,ELCB02,2044,92.59456039656547
REGION1,BATTERY_STORAGE,ELCB02,2045,106.12069913313427
REGION1,BATTERY_STORAGE,ELCB02,2046,100.98576500162767
REGION1,BATTERY_STORAGE,ELCB02,2047,115.45536038539673
REGION1,BATTERY_STORAGE,ELCB02,2048,106.52160290114819
REGION1,BATTERY_STORAGE,ELCB02,2049,85.23540104379964
REGION1,BATTERY_STORAGE,ELCB02,2050,74.83428224428495
REGION1,DEMAGRGWTBC1,AGRWATBC1,2021,0.3896032257132732
REGION1,DEMAGRGWTBC1,AGRWATBC1,2022,0.3763973205240174
REGION1,DEMAGRGWTBC1,AGRWATBC1,2023,0.42276505920824714
REGION1,DEMAGRGWTBC1,AGRWATBC1,2025,0.42418559826933366
REGION1,DEMAGRGWTBC1,AGRWATBC1,2026,0.43658350389551276
REGION1,DEMAGRGWTBC1,AGRWATBC1,2027,0.45377555511236267
REGION1,DEMAGRGWTBC1,AGRWATBC1,2028,0.47025260120964857
REGION1,DEMAGRGWTBC1,AGRWATBC1,2029,0.4861382149912459
REGION1,DEMAGRGWTBC1,AGRWATBC1,2030,0.5321625833091527
REGION1,DEMAGRGWTBC1,AGRWATBC1,2031,0.49718461163675315
REGION1,DEMAGRGWTBC1,AGRWATBC1,2032,0.48669676298849773
REGION1,DEMAGRGWTBC1,AGRWATBC1,2033,0.4933889349036923
REGION1,DEMAGRGWTBC1,AGRWATBC1,2034,0.4993169018688685
REGION1,DEMAGRGWTBC1,AGRWATBC1,2035,0.5063252249963781
REGION1,DEMAGRGWTBC1,AGRWATBC1,2036,0.5237996119305105
REGION1,DEMAGRGWTBC1,AGRWATBC1,2037,0.5313220690230025
REGION1,DEMAGRGWTBC1,AGRWATBC1,2039,0.5425205995016652
REGION1,DEMAGRGWTBC1,AGRWATBC1,2040,0.5475945187194536
REGION1,DEMAGRGWTBC1,AGRWATBC1,2042,0.553139121300189
REGION1,DEMAGRGWTBC1,AGRWATBC1,2043,0.5612145194868259
REGION1,DEMAGRGWTBC1,AGRWATBC1,2044,0.5672156045316984
REGION1,DEMAGRGWTBC1,AGRWATBC1,2045,0.5738515487193998
REGION1,DEMAGRGWTBC1,AGRWATBC1,2047,0.586774111666116
REGION1,DEMAGRGWTBC1,AGRWATBC1,2048,0.5934100558538518
REGION1,DEMAGRGWTBC1,AGRWATBC1,2049,0.6002656775699241
REGION1,DEMAGRGWTBC1,AGRWATBC1,2050,0.6071970654590807
REGION1,DEMAGRSURBC1,AGRWATBC1,2024,0.4413257396806631
REGION1,DEMAGRSURBC1,AGRWATBC1,2038,0.5391651598230179
REGION1,DEMAGRSURBC1,AGRWATBC1,2041,0.5471751068026689
REGION1,DEMAGRSURBC1,AGRWATBC1,2046,0.580659390280338
REGION1,DEMCOMBIO,COMBIO,2021,0.7599998480000321
REGION1,DEMCOMBIO,COMBIO,2022,1.1999997377632752
REGION1,DEMCOMBIO,COMBIO,2023,1.6299996120538327
REGION1,DEMCOMBIO,COMBIO,2024,2.4099995180000797
REGION1,DEMCOMBIO,COMBIO,2025,3.6099992111045185
REGION1,DEMCOMBIO,COMBIO,2026,4.809999038000185
REGION1,DEMCOMBIO,COMBIO,2027,6.369998029929928
REGION1,DEMCOMBIO,COMBIO,2028,7.849998131670297
REGION1,DEMCOMBIO,COMBIO,2029,9.75999747710551
REGION1,DEMCOMBIO,COMBIO,2030,11.659996468686769
REGION1,DEMCOMBIO,COMBIO,2031,11.519997776016433
REGION1,DEMCOMBIO,COMBIO,2032,11.37999759871609
REGION1,DEMCOMBIO,COMBIO,2033,11.329997145878556
REGION1,DEMCOMBIO,COMBIO,2034,11.299997924490162
REGION1,DEMCOMBIO,COMBIO,2035,11.259997242812663
REGION1,DEMCOMBIO,COMBIO,2036,11.229997426061693
REGION1,DEMCOMBIO,COMBIO,2037,11.179997085663665
REGION1,DEMCOMBIO,COMBIO,2038,11.149997934303595
REGION1,DEMCOMBIO,COMBIO,2039,11.12999777400043
REGION1,DEMCOMBIO,COMBIO,2040,11.109997778000427
REGION1,DEMCOMBIO,COMBIO,2041,11.099997867797004
REGION1,DEMCOMBIO,COMBIO,2042,11.08999774881341
REGION1,DEMCOMBIO,COMBIO,2043,11.09999796122485
REGION1,DEMCOMBIO,COMBIO,2044,11.119997532925648
REGION1,DEMCOMBIO,COMBIO,2045,11.139997120384773
REGION1,DEMCOMBIO,COMBIO,2046,11.179997764000431
REGION1,DEMCOMBIO,COMBIO,2047,11.229997507391841
REGION1,DEMCOMBIO,COMBIO,2048,11.299997595700088
REGION1,DEMCOMBIO,COMBIO,2049,11.359997728000437
REGION1,DEMCOMBIO,COMBIO,2050,11.449997710000442
REGION1,DEMCOMELCB02,COMELCB02,2021,53.0299819068556
REGION1,DEMCOMELCB02,COMELCB02,2022,57.049980535284035
REGION1,DEMCOMELCB02,COMELCB02,2023,59.4399797198472
REGION1,DEMCOMELCB02,COMELCB02,2024,61.1799791261819
REGION1,DEMCOMELCB02,COMELCB02,2025,62.859978552987805
REGION1,DEMCOMELCB02,COMELCB02,2026,64.67997793202754
REGION1,DEMCOMELCB02,COMELCB02,2027,66.56997728718419
REGION1,DEMCOMELCB02,COMELCB02,2028,68.08997676858002
REGION1,DEMCOMELCB02,COMELCB02,2029,69.37997632844885
REGION1,DEMCOMELCB02,COMELCB02,2030,70.58997591561263
REGION1,DEMCOMELCB02,COMELCB02,2031,71.88997547206958
REGION1,DEMCOMELCB02,COMELCB02,2032,73.25997500464344
REGION1,DEMCOMELCB02,COMELCB02,2033,74.48997458498349
REGION1,DEMCOMELCB02,COMELCB02,2034,75.74997415508791
REGION1,DEMCOMELCB02,COMELCB02,2035,77.01997372178047
REGION1,DEMCOMELCB02,COMELCB02,2036,78.36997326117809
REGION1,DEMCOMELCB02,COMELCB02,2037,79.69997280739943
REGION1,DEMCOMELCB02,COMELCB02,2038,80.95997237750386
REGION1,DEMCOMELCB02,COMELCB02,2039,82.18997195784391
REGION1,DEMCOMELCB02,COMELCB02,2040,83.26997158936199
REGION1,DEMCOMELCB02,COMELCB02,2041,84.33997122429194
REGION1,DEMCOMELCB02,COMELCB02,2042,85.35997087628124
