REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRSOLB02,2030,0.104
REGION1,PWRWNDB11,2031,0.1999
REGION1,PWRWNDB12,2031,0.1999
REGION1,PWRWNDB13,2032,0.1972
REGION1,PWRWNDB14,2032,0.1428
REGION1,PWRWNDB15,2032,0.1596
REGION1,PWRWNDB16,2032,0.1404
REGION1,PWRWNDB17,2032,0.1972
REGION1,PWRWNDB18,2032,0.094
REGION1,PWRWNDB19,2032,0.2
REGION1,LNDLVSBEFNBC1,2021,7.102
REGION1,LNDLVSBEFNBC1,2022,7.102
REGION1,LNDLVSBEFNBC1,2023,7.102
REGION1,LNDLVSBEFNBC1,2024,7.102
REGION1,LNDLVSBEFNBC1,2025,6.99547
REGION1,LNDLVSBEFNBC1,2026,6.89053795
REGION1,LNDLVSBEFNBC1,2027,6.787179881
REGION1,LNDLVSBEFNBC1,2028,6.685372183
REGION1,LNDLVSBEFNBC1,2029,6.5850916
REGION1,LNDLVSBEFNBC1,2030,6.486315226
REGION1,LNDLVSBEFNBC1,2031,6.389020497
REGION1,LNDLVSBEFNBC1,2032,6.29318519
REGION1,LNDLVSBEFNBC1,2033,6.198787412
REGION1,LNDLVSBEFNBC1,2034,6.105805601
REGION1,LNDLVSBEFNBC1,2035,6.014218517
REGION1,LNDLVSBEFNBC1,2036,5.924005239
REGION1,LNDLVSBEFNBC1,2037,5.835145161
REGION1,LNDLVSBEFNBC1,2038,5.747617983
REGION1,LNDLVSBEFNBC1,2039,5.661403713
REGION1,LNDLVSBEFNBC1,2040,5.576482658
REGION1,LNDLVSBEFNBC1,2041,5.492835418
REGION1,LNDLVSBEFNBC1,2042,5.410442887
REGION1,LNDLVSBEFNBC1,2043,5.329286243
REGION1,LNDLVSBEFNBC1,2044,5.24934695
REGION1,LNDLVSBEFNBC1,2045,5.170606745
REGION1,LNDLVSBEFNBC1,2046,5.093047644
REGION1,LNDLVSBEFNBC1,2047,5.01665193
REGION1,LNDLVSBEFNBC1,2048,4.941402151
REGION1,LNDLVSBEFNBC1,2049,4.867281118
REGION1,LNDLVSBEFNBC1,2050,4.794271902
REGION1,LNDBARBC1,2021,176.747
REGION1,LNDBARBC1,2022,176.747
REGION1,LNDBARBC1,2023,176.747
REGION1,LNDBARBC1,2024,176.747
REGION1,LNDBARBC1,2025,176.747
REGION1,LNDBLTBC1,2021,1.311
REGION1,LNDBLTBC1,2022,1.311
REGION1,LNDBLTBC1,2023,1.311
REGION1,LNDBLTBC1,2024,1.311
REGION1,LNDBLTBC1,2025,1.311
REGION1,LNDFORBC1,2021,444.101
REGION1,LNDFORBC1,2022,444.101
REGION1,LNDFORBC1,2023,444.101
REGION1,LNDFORBC1,2024,444.101
REGION1,LNDFORBC1,2025,444.101
REGION1,LNDGRSBC1,2021,189.331
REGION1,LNDGRSBC1,2022,189.331
REGION1,LNDGRSBC1,2023,189.331
REGION1,LNDGRSBC1,2024,189.331
REGION1,LNDGRSBC1,2025,189.331
REGION1,LNDOTHBC1,2021,32.743
REGION1,LNDOTHBC1,2022,32.743
REGION1,LNDOTHBC1,2023,32.743
REGION1,LNDOTHBC1,2024,32.743
REGION1,LNDOTHBC1,2025,32.743
REGION1,LNDWATBC1,2021,51.284
REGION1,LNDWATBC1,2022,51.284
REGION1,LNDWATBC1,2023,51.284
REGION1,LNDWATBC1,2024,51.284
REGION1,LNDWATBC1,2025,51.284
