REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMCOMBIO,CO2,1,2021,0.0532
REGION1,DEMCOMBIO,CO2,1,2022,0.084
REGION1,DEMCOMBIO,CO2,1,2023,0.11410000000000056
REGION1,DEMCOMBIO,CO2,1,2024,0.1687
REGION1,DEMCOMBIO,CO2,1,2025,0.25270000000000004
REGION1,DEMCOMBIO,CO2,1,2026,0.3366999999999999
REGION1,DEMCOMBIO,CO2,1,2027,0.4458999999999999
REGION1,DEMCOMBIO,CO2,1,2028,0.5495000000000009
REGION1,DEMCOMBIO,CO2,1,2029,0.6832
REGION1,DEMCOMBIO,CO2,1,2030,0.8162
REGION1,DEMCOMBIO,CO2,1,2031,0.8064
REGION1,DEMCOMBIO,CO2,1,2032,0.7966000000000002
REGION1,DEMCOMBIO,CO2,1,2033,0.7931
REGION1,DEMCOMBIO,CO2,1,2034,0.7910000000000001
REGION1,DEMCOMBIO,CO2,1,2035,0.7881999999999998
REGION1,DEMCOMBIO,CO2,1,2036,0.7860999999999998
REGION1,DEMCOMBIO,CO2,1,2037,0.7825999999999999
REGION1,DEMCOMBIO,CO2,1,2038,0.7805
REGION1,DEMCOMBIO,CO2,1,2039,0.7791000000000001
REGION1,DEMCOMBIO,CO2,1,2040,0.7777
REGION1,DEMCOMBIO,CO2,1,2041,0.777
REGION1,DEMCOMBIO,CO2,1,2042,0.7763
REGION1,DEMCOMBIO,CO2,1,2043,0.7769999999999998
REGION1,DEMCOMBIO,CO2,1,2044,0.7783999999999999
REGION1,DEMCOMBIO,CO2,1,2045,0.7798
REGION1,DEMCOMBIO,CO2,1,2046,0.7826
REGION1,DEMCOMBIO,CO2,1,2047,0.7861000000000004
REGION1,DEMCOMBIO,CO2,1,2048,0.7909999999999998
REGION1,DEMCOMBIO,CO2,1,2049,0.7952
REGION1,DEMCOMBIO,CO2,1,2050,0.8015
REGION1,DEMCOMRPP,CO2,1,2021,0.4497350000000001
REGION1,DEMCOMRPP,CO2,1,2022,0.4583150000000001
REGION1,DEMCOMRPP,CO2,1,2023,0.464035
REGION1,DEMCOMRPP,CO2,1,2024,0.4690399999999999
REGION1,DEMCOMRPP,CO2,1,2025,0.47333
REGION1,DEMCOMRPP,CO2,1,2026,0.4790499999999999
REGION1,DEMCOMRPP,CO2,1,2027,0.48691499999999993
REGION1,DEMCOMRPP,CO2,1,2028,0.49335
REGION1,DEMCOMRPP,CO2,1,2029,0.498355
